,Date,Place,Address,City,State,County,Neighborhood,category,Note ,Score,anything special,alcohol,smoking,eat in,bathroom,parking,cash only,sizes,cost,roll,who's,roll s,meat ,meat s,cheese,cheese s,extras,extras s,overall,overall s,SCORE,Unnamed: 31,Instagram,YouTube,location,geo,latitude,longitude
10,5/31/2018,Greek Lady,222 S 40th St,Philadelphia,PA,Philadelphia County,university city,pizza shop,"The make their cheesesteaks exactly the way I like them.  chopped, everything mixed in and a great cheese melt.  The lettuce and tomato were great and on top.  big dining room, bathroom and something on the menu for everyone.",89,,no,no,yes,yes,no,no,all,,a little disappointed when I saw amoroso roll box but it was good,amoroso,17,"top sirloin, plenty of meat good chop",17,great amount and melt,18,extras were almost perfect,19,great cheesesteak.  exactly the way I would have made it.,18,89,,,,"222 S 40th St, Philadelphia PA","222 South 40th Street, Philadelphia, Pennsylvania 19104, United States",39.953565,-75.203179
11,6/2/2018,Del Rossi's Cheesesteak Co,538 N 4th ST,Philadelphia,PA,Philadelphia County,Fishtown/N. Liberity,pizza shop,"Great cheesesteak, great roll.  No parking but great dining room, bathroom and cool old movie ics on the walls.",91,plenty of seating,no,no,yes,yes,no,no,saveral,good,very very good,family secret,19,"steak, very good amount and flavor",18,very good amount and melt,18,"good extras, may be weak link",17,"one of the best CS in city, plenty of room to sit and eeat.",19,91,,,,"538 N 4th ST, Philadelphia PA","538 North 4th Street, Philadelphia, Pennsylvania 19123, United States",39.961523,-75.145215
12,6/4/2018,Pickles & Chips,1707 Foulk RD,Wilmington,DE,New Castle County,,sandwich shop,Good cheesesteak.  According to the plaques on the walls they are better known for their sandwich creativity.  If I go back I will probably try a sandwich. ,71,,no,no,yes,IDK,yes,no,all,"$11 for 12""",my favorite,liscio's,17,good chop.  maybe more meat??,13,tasty but all on bottom,13,LT lost on bottom.  Shrooms almost non-existent,13,good cheesesteak for the price.  'Creative Concoctions' looked good,15,71,,,,"1707 Foulk RD, Wilmington DE","1707 Foulk Road, Wilmington, Delaware 19803, United States",39.807844,-75.516061
13,6/6/2018,Lazaro's,1743 South St,Philadelphia,PA,Philadelphia County,Center City,pizza shop,A lot of very good cheesesteak for $9.75.  A good sized dining room and bathrooms.  The pizzas looked very good.  When I mention Lazaro's to riders they usually had been there for their pizza.,87,,no,no,yes,yes,no,yes,all,$9.75,this roll did amoroso proud,amaroso,18,"good meat and chop, maybe more?",18,good cheese and melt,17,good extras and nice mixed in,17,nice surprise oasis on 17th and south,17,87,,,,"1743 South St, Philadelphia PA","1743 South Street, Philadelphia, Pennsylvania 19146, United States",39.944546,-75.171705
14,6/7/2018,Naaman's Pizzeria,3100 Naaman's Rd,Wilmington,DE,New Castle County,,pizza shop,"My new hometown go to cheesesteak.  chopped, everything mixed in, lettuce & tomato on top. they have a dining room but I got there late so I ate outside",87,,no,no,yes,yes,yes,no,several,,good roll,aversa,16,good meat and chop,18,good cheese great melt,18,"all good, and mixed ingreat",17,my new wilmington CS,18,87,,,,"3100 Naaman's Rd, Wilmington DE","3100 Naamans Road, Wilmington, Delaware 19810, United States",39.829406,-75.536745
15,6/8/2018,Cosmi's,1501 S 8th St,Philadelphia,PA,Philadelphia County,south philly,deli,"If you want to step back in time and have a very good cheesesteak, go to Cosmi's.  2 card tables in the middle of the deli and everyone is 'welcoming'",90,"old school deli, shd have gotten sesame seed roll",no,no,10 seats,no,no, no,2,,they have a seeded roll but I went plain,Liscio,17,"agreat amount, chop and taste",19,"great amount, melt",18,everything worked great together,18,step back in time to old school deli,18,90,,,,"1501 S 8th St, Philadelphia PA","1501 S 8th St, Philadelphia, Pennsylvania 19147, United States",39.92939,-75.15812
16,6/9/2018,Pagano's,7617 Ogontz Ave,philadelphia,PA,Philadelphia County,north philly,sandwich shop,Most meat for the money,71,,no,no,no,IDK,no,yes,many choices,$9.75,the roll fel apart.  I am not sure any roll could handle all of the chopped sirloin,,10,"actually tasted like someone took a steak, ground it up and put it on a roll",20,no melt,10,"all good, and mixed in great",17,very good steak/meat,14,71,,,,"7617 Ogontz Ave, philadelphia PA","7617 Ogontz Avenue, Philadelphia, Pennsylvania 19150, United States",40.0705,-75.156951
17,6/12/2018,Westtown Meat market,1030 Old Wilmington Pike,Westtown,PA,chester county,,deli,When Westtown Meat Market finds a roll worthy of their cheesesteak this will be the best cheesesteak east of the mississippi.  Can a brother get a great roll?,89,,no,no,"no, tables outside",no,yes,$1 charge for under $40,every,$10ish,good but couldn't handle the awesomeness of the cheesesteak,amoroso,16,cooked perfectly and thick slices,18,no tsure how it got melted but it worked,18,look at pic of mushrooms,19,this cheesesteak deserves a better roll.  some people can't handle the truth and this roll couldn't handle the meat!!,18,89,,,,"1030 Old Wilmington Pike, Westtown PA","1030 Old Wilmington Pike, West Chester, Pennsylvania 19382, United States",39.933461,-75.588701
18,6/13/2018,DiConstanza's,1930 market st,Marcus Hook,PA,Delaware County,,pizza shop,Good cheesesteak.  plenty of room to sit down and eat plus a bathroom.  I just wasn't feeling it.,80,,no,no,yes,yes,yes,no,s/l,idk,very good,liscio's,18,good tasty and chop,16,decent amount and melt,16,"nice tomatoes, but little on mushrooms and forgot lettuce",15,they were having their own lparty going on behind the counter,15,80,,,,"1930 market st, Marcus Hook PA","1930 Market Street, Upper Chichester, Pennsylvania 19061, United States",39.831069,-75.424372
19,6/14/2018,Spot Gourmet Burger,2821 Girard Ave,Philadelphia,PA,Philadelphia County,brewerytown,sandwich shop,being hip is expensive.  Burgers may be the way to go,69,,no,no,yes,yes,no,no,IDK,17.70 included an ice tea,"in shock, IDK",,13,"good, thick slices good flavor",17,good melt,15,not worth 2.25,10,"nice scheesesteak, nice place but overpriced for me",14,69,,,,"2821 Girard Ave, Philadelphia PA","2821 West Girard Avenue, Philadelphia, Pennsylvania 19130, United States",39.974711,-75.182571
20,6/15/2018,John's Roast pork,14 Snyder Ave,Philadelphia,PA,Philadelphia County,south Philly,pizza shop,Everyone talks about their pork but 3 out of 4 people got the cheesesteak.  i think someone called out because they were really slow and messed up a few orders.  other than that a very good cheesesteak in a different setting.,80,,no,no,under canopy,no,kind of,no,1,too much,sesame seed ,,18,"thick slices, good flavor, could have used more",18,good melt,14,"LT surprisingly good, shrooms got lost",15,several people complaining about wrong orders.,15,80,,,,"14 Snyder Ave, Philadelphia PA","14 Snyder Avenue, Philadelphia, Pennsylvania 19148, United States",39.919984,-75.145747
21,6/16/2018,Mama's pizzeria,426 Belmont Ave,Bala Cynwyd,PA,Montgomery County,,pizzeria,Cheesesteaks are a 3 legged stool and mama has 3 good legs.  Mama brought her cheese game.  the best part is the rest of the cheesesteak did not get lost in the cheese.  Must go to Mama's,93,cheesey,no,no,yes,yes,yes,no,2,,great roll,conshohocken ,18,awesome meat very flavorful,18,"great melt, tasted like a cheese sandwich with meat",20,excellent,18,I love Mama,19,93,,,,"426 Belmont Ave, Bala Cynwyd PA","426 Belmont Avenue, Bala, Pennsylvania 19004, United States",40.015412,-75.228731
22,6/17/2018,Dalessandro's Steaks,600 Wendover St,Philadelphia,PA,Philadelphia County,manayuk/roxborough,pizza shop,"very good cheesesteak.  I love how finely they chop the meat.  but the mushrooms weren't mixed in, i think that is a big no-no.  I got lucky and got a seat at the counter.",90,,no,no,yes but always crowded,IDK,no,yes,1,,good roll,amaroso,18,"awesome meat, very fine chop",19,"good amount, mama ruined me",17,very good but added after meat ,18,"awesome meat, i would like to see everyhting else upgraded",18,90,,,,"600 Wendover St, Philadelphia PA","600 Wendover Street, Philadelphia, Pennsylvania 19128, United States",40.029512,-75.205995
23,6/18/2018,3J's market,801 N 2nd St,Philadelphia,PA,Philadelphia County,Fishtown/N. Liberty,deli,The price included french fries.  I love the surprise of free food.  Very good food.  A couple tables to sit down and eat.  Good all around deli with a steady stream of people.  ,82,,no,no,yes,yes,no ,no,1,under $10 included fries,good roll,,16,good chop,16,very little melt,16,tasty,15,comes w/fries. very helpful people,19,82,,,,"801 N 2nd St, Philadelphia PA","801 South 2nd Street, Philadelphia, Pennsylvania 19147, United States",39.937488,-75.146271
24,6/19/2018,Femi's,907 Clifton Ave,Darby,PA,Delaware County,,pizza shop,solid cheesesteak in a good neighborhood pizza shop.  If I am hungry anbd in Darby I would go back.  Hopefully the AC will be working.,76,,no,no,yes,yes,no,no,IDK,IDK,They toasted it and I like that but the Philly CS photographer/scout/confidant/brain didn't like the roll,,15,"good flavor, and chop",16,lost on bottom. may have been melted on to roll,15,very very good mushrooms.  LT got lost on bottom,15,good CS but AC was broken and everyone was cranky,15,76,,,,"907 Clifton Ave, Darby PA","907 Clifton Avenue, Collingdale, Pennsylvania 19023, United States",39.917872,-75.282919
25,6/20/2018,LaSpada,4724 Pennell Rd,Aston,PA,Delaware County,,pizza shop,I went to Aston location.  I loved the place and sports memoribilia but the Cheesesteak was bland and could use some more cheese.,74,,no,no,yes,yes,yes,no,s/l,IDK,nice roll,boxes were out front,16,very good amount but no flavor,12,a little more cheese and this could have been a contender,15,lots of mushrooms and they were mixed in nicely.  LT got lost on bottom,15,"good CS, nice place but very bland, almost no flavor",16,74,,,,"4724 Pennell Rd, Aston PA","4724 Pennell Rd, Media, Pennsylvania 19014, United States",39.87007,-75.42872
26,6/23/2018,Donkey's,1223 Haddon Ave,Camden,NJ,Camden County,,bar/restaraunt,Every cheesesteak lover has to go to Donkey's for the Donkey's experience.  Nothing fancy but a chance to go back in time and see how real men use to eat their cheesesteaks.,Go for the Experience,Cheesesteak bucket list place,yes,IDK,yes,yes,very little,IDK,1,,poppy seed,,,stack of ribbons,,alright,,love the onions in tomato sauce,,very old school bar serving their version of a cheesesteak,,0,,,,"1223 Haddon Ave, Camden NJ","1223 Haddon Avenue, Camden, New Jersey 08103, United States",39.931623,-75.102245
27,6/23/2018,FrancoLuigi's,1549 S 13 th St,Philadelphia,PA,Philadelphia County,south philly,pizza shop,They had a private party in the other room so everyone else had to wait with no bathroom.  The roll was awesome.  I assume they make their own rolls and pizza dough.  They sold a lot of pizza while I waited.  $3 a slice and it looked good.  If I go back it will be for the pizza.,78,,no,no,yes,yes but not when I was there,no,no,s/l,,"very good roll, i guess they make their own",,18,good but needed more,15,"good melt, I liked the cheese",17,shrooms and L were good but T was weak,15,nice young man at counter tried to provide good customer service but manager/owner stopped him,13,78,,,,"1549 S 13 th St, Philadelphia PA","1549 South 13th Street, Philadelphia, Pennsylvania 19147, United States",39.930292,-75.165946
28,6/23/2018,Shank's,901 S Christopher Columbus Blvd,Philadelphia,PA,Philadelphia County,south philly,sandwich shop,"Very good cheesesteak in an even better location.  Great food, great view and fair price.  Grab people you like and go to Shank's for a great river side meal.  ",90,"scrapple fries, delaware river",no,no,no but sit by the delaware river,IDK,yes,no,IDK,,very good roll,,17,"good taste, could have used more but I liked it",17,good melt 7 amount,18,"great mushrooms,  LT were good but on bottom",18,very good cheesesteak at a great location,20,90,,,,"901 S Christopher Columbus Blvd, Philadelphia PA","901 S Columbus Blvd, Philadelphia, Pennsylvania 19147, United States",39.93397,-75.14326
29,6/24/2018,Cleaver's,108 S 18th St,Philadelphia,PA,Philadelphia County,center city,pizza shop,I got there at 11 am on a Sunday.  I had 18th St practically to myself and the Jack Daniel's in my milkshake was heavanly.  The cheesesteak was pretty darn good also.,87,,yes,no,yes,yes,no,no,IDK,IDK,very good roll,,18,"good flavor, more please",17,good amount and melt,17,"great shrooms, good rest",17,my way to sunday brunch!! boozey milkshakes,18,87,,,,"108 S 18th St, Philadelphia PA","108 South 18th Street, Philadelphia, Pennsylvania 19103, United States",39.951393,-75.170621
30,6/25/2018,Malin's,812 S College Ave,Newark,DE,New Castle County,,deli,"At some point you are to find yourself in Newark, DE and this is the place you have to go for your Cheesesteak.  A lot of cheesesteak for the price.",81,,no,no,yes,IDK,yes,no,s/l,relatively good,li liked it,,15,"good taste, chop and flavor.  could have used more.  the roll looked empty",15,good melt. perfect amount for meat.,15,good mushrooms.  LT okay on bottom,17,for the price it was a very good cheesesteak and fun nostaglic place to eat,19,81,,,,"812 S College Ave, Newark DE","812 South College Avenue, Newark, Delaware 19713, United States",39.654671,-75.751559
31,6/27/2018,Cityview,1434 Cecil B Moore Ave,Philadelphia,PA,Philadelphia County,north philly,pizza shop,"I was pleasantly surprised how good this cheesesteak was.  I found a parking spot close by and plenty of seating, Temple is on summer break.  I now have a N Philly go to place.",78,,no,no,yes,yes,no,no,IDK,,good roll,,16,"nice chop, good flavor",16,needed more and melt,15,"okay, on top",15,Temple being on summer leave helped my experience,16,78,,,,"1434 Cecil B Moore Ave, Philadelphia PA","1434 Cecil B Moore Avenue, Philadelphia, Pennsylvania 19121, United States",39.978684,-75.159453
32,6/27/2018,Joe's Original Soda and Steaks,6030 Torresdale Ave,Philadelphia,PA,Philadelphia County,northeast philly,casual dining,"They have a pay phone.  Good cheesesteak, great milkshake and you can't beat the 50's vibe.  If you are near NE Philly and you want good food, good price and nostaglia, go to Joe's formerly Chink's.",79,50's vibe,no,no,yes,yes,no,no,IDK,IDK,good,,15,"good, could have used more",15,good,15,good,17,the 50's vibe made it memmorable.,17,79,,,,"6030 Torresdale Ave, Philadelphia PA","6030 Torresdale Avenue, Philadelphia, Pennsylvania 19135, United States",40.018546,-75.058167
33,6/28/2018,Campo's,214 Market St,Philadelphia ,PA,Philadelphia County,center city,pizza shop,The cheesesteak was good but small.  Campo's is perfect for the tourist.,82,,no,no,yes,yes,no,yes,1,IDK,very good roll,,18,good taste but needed lots lots more,15,good,15,nice flavor,16,very good for the tourist,18,82,,,,"214 Market St, Philadelphia  PA","214 Market Street, Philadelphia, Pennsylvania 19106, United States",39.949741,-75.144317
34,7/2/2018,Phil & Jim's,2905 Edgmont Ave,Brookhaven,PA,Delaware County,,sandwich shop,I see why they have been around for 50 years.  Very good cheesesteak and they were making 3 hoagies for every cheesesteak.  The guy next to me was from Wisconsin!!,83,,no,no,2 stools,IDK,no,no,IDK,,i liked the roll,,16,"good meat, flavor & amount",19,"good, could have used more",15,okay mushrooms and tomato.  weak lettuce,15,very good meaty cheesesteak,18,83,,,,"2905 Edgmont Ave, Brookhaven PA","2905 Edgmont Avenue, Brookhaven, Pennsylvania 19015, United States",39.867735,-75.378
35,7/3/2018,Oregon Steaks,2654 10th St,Philadelphia,PA,Philadelphia County,south philly,sandwich shop,"good change of pace cheesesteak.  could have been bigger and had more of everything but for the price, good cheesesteak.  not chopped but the thicker slice of meat worked.",75,,IDK,no,IDK,IDK,no,IDK,IDK,not bad,good roll,,15,i prefer chopped but the thicker slices of meat worked well. needed more,15,"good, give me more",15,okay I guess,15,good little change of pace cheesesteak,15,75,,,,"2654 10th St, Philadelphia PA","2654 South 10th Street, Philadelphia, Pennsylvania 19148, United States",39.916153,-75.164653
36,7/3/2018,Terry's Food truck,"Arch St, on Penn's Campus",Philadelphia,PA,Philadelphia County,University city,food truck,"I know it was cut up Gyro meat likely I love Gyro's.  $6, I could eat at Terry's regularly.",77,,no,no,no,no,no,yes,1,$6.00,good roll,,15,"Gyro meat, likily I love gyro meat",15,give me more,15,actually good,16,"price, gyro meat, works for me",16,77,,,,"Arch St, on Penn's Campus, Philadelphia PA","Philadelphia County, Pennsylvania, United States",40.01,-75.13
37,7/4/2018,Ungle Oogie's,2119 W Oregon Ave,Philadelphia,PA,Philadelphia County,south philly,pizza shop,I was very pleasantly surprised how ggod Uncle Oogie's was.  Also getting lunch were a cop and guy from the airport so it must be good.  Cheesesteaks were definitely not their top seller.,81,,no,no,yes,IDK,yes,IDK,IDK,IDK,i liked the roll,,16,"good amount, nice chop and flavor",16,good amount & melt,16,"good, LT on bottom",16,"surpriselying good place. other diners were a policeman and airport security, 2 good signs",17,81,,,,"2119 W Oregon Ave, Philadelphia PA","2119 Oregon Avenue, Philadelphia, Pennsylvania 19145, United States",39.918718,-75.183099
38,7/5/2018,Mrs. Bui's food truck,"38th St, Penn's Campus",Philadelphia,PA,Philadelphia County,university city,food truck,"I got her special sauce, spicy mayonnaise.  Good little cheesesteak, special sauce and a Gatorade for under $10 I am in all day long",77,,no,no,no,no,no,yes,1(?),"$10 ish, CS, special sauce and a gatorade",i liked the roll,,15,good meat needed more meat,15,good melt,15,pretty tasty,15,i liked it!,17,77,,,,"38th St, Penn's Campus, Philadelphia PA","Philadelphia, Pennsylvania, United States",40.0115,-75.1327
39,7/5/2018,Philip's,2234 W Passyunk Ave,Philadelphia,PA,Philadelphia County,south philly,sandwich shop,Very Good Cheesesteak.  Great location.  Great people,81,,no,no,picnic tables,if you ask,kind of,IDK,IDK,,i liked the roll,,15,i liked the thicker slices,17,good,15,very good mushrooms LT,17,"Good food, price and people",17,81,,,,"2234 W Passyunk Ave, Philadelphia PA","2234 W Passyunk Ave, Philadelphia, Pennsylvania 19145, United States",39.92259,-75.18445
40,7/6/2018,21st Stop & Shop,2050 Dickinson St,Philadelphia,PA,Philadelphia County,south philly,bordega,2 cheesesteaks for $6.  You know I am there.  it's a $3 cheesesteak not much really more than that to say.  nice hard working owners.  they wrapped the 2nd cheesesteak in halves so I would have 2 to give away.,75,2 for $6,no,no,no,no,no ,IDK,1,2 for $6,okay,,15,good ,15,good cheese,15,no extras,10,nice hard working people and 2 for $6,20,75,,,,"2050 Dickinson St, Philadelphia PA","2050 Dickinson Street, Philadelphia, Pennsylvania 19146, United States",39.933008,-75.179488
41,7/8/2018,Don's,1509 Meetinghouse Rd,Boothwyn,PA,Delaware County,,deli,"Big cheesesteak.  Good cheesesteak.  Nice old school deli.  No pop, no vibe, very functional.    ",79,,no,no,no,no,no,IDK,s/l,,opkay roll,,15,decent amount of meat,16,good amount and melt,16,good extras,16,good food and amount but lacking love,16,79,,,,"1509 Meetinghouse Rd, Boothwyn PA","1509 Meetinghouse Road, Upper Chichester, Pennsylvania 19061, United States",39.829998,-75.441451
42,7/9/2018,Steak'em Up,2600 S 11th St,Philadelphia,PA,Philadelphia County,south philly,pizza shop,"Good cheesesteak for $9.72.  They have several locations and their other food looked amazing.  The meat was a little dry and bland but for $9.72, good cheesesteak.",78,,no,no,no,no,no,IDK,1,$9.72,good roll,liscio's,15,good but a little bland and dry,15,good amount,15,LT were on bottom but they didn't get lost there. mushrooms were good,18,"other food  looked amazing, pretty typical pizza shop cheesesteak.  I liked the $9.72",15,78,,,,"2600 S 11th St, Philadelphia PA","2600 South 11th Street, Philadelphia, Pennsylvania 19148, United States",39.917373,-75.166027
43,7/11/2018,Hemo's,Spruce on Penn's campus,Philadelphia,PA,Philadelphia County,university city,food truck,"very good cheesesteak, Hemo's special sauce, Snapple, $7. That's a Carole!!!",79,,no,no,no,no,no,yes,1,"$7, CS, special sauce and a snapple",good roll,,15,good,16,good,16,hemo's special sauce,16,sauce definitely gives CS a good kick,16,79,,,,"Spruce on Penn's campus, Philadelphia PA","Philadelphia, Pennsylvania, United States",40.0115,-75.1327
44,7/11/2018,Not Just Pizza,2240 S 11th St,philadelphia,PA,Philadelphia County,south philly,PIZZA SHOP,"Very good cheesesteak, may be best in that area.  we got the Chicken pharm also.  pretty good, they toasted the roll for the pharm.  2 good biggish sandwiches for $17.80.",83,,no,no,no,no,no,no,IDK,17.80 for 2 sandwiches,i liked it,,16,"nice meat, little flavor, good chop",17,"nice melt, a little more than usual",16,LT gor lost a little ,16,good sandwiches and good value,18,83,,,,"2240 S 11th St, philadelphia PA","2240 South 11th Street, Philadelphia, Pennsylvania 19148, United States",39.921355,-75.165176
45,7/12/2018,Pepper Mill,813 N Chester Rd,West Chester,PA,chester county,,casual dining,Big difference when someone is trying to make a great cheesesteak!!  It is worth the drive.  Their other sandwiches looked great.  Nice family restaurant.,90,philly mag 30,no,no,yes,yes,yes,no,s/l,,"very good roll, crusty like a sailor",,18,prob 2nd best meat I've had.  Tender w/out water or oil,18,it was like a cheese spread. i thought they put mayo on the roll,18,very goo. tomato didn't look good but it tasted very good. what a difference pepper makes.,17,great family restaraunt. plenty of room to eat in.  the other sandwiches I saw being served looked very good.,19,90,,,,"813 N Chester Rd, West Chester PA","813 North Chester Road, West Chester, Pennsylvania 19380, United States",39.994353,-75.544426
46,7/13/2018,Dairy Cottage,328 W Woodland Ave,Springfield,PA,Delaware County,,casual dining,It took me longer to get there than I hoped but it was worth it.  The pepper mill of Delco??  That's a big cheesesteak Karl and I split for $16.75.  Great family restaurant!!,90,"The XL, ice cream",no,no,yes,yes,yes,no,2,,average,,17,a lot of meat but bland and dry,16,great amount and melt,19,good mushrooms. LT held their own on the bottom,18,very good for the money.  nobody complained about their ilkshakes,20,90,,,,"328 W Woodland Ave, Springfield PA","328 West Woodland Avenue, Springfield, Pennsylvania 19064, United States",39.928135,-75.343649
47,7/13/2018,Randazzo's ,1826 South St,Philadelphia,PA,Philadelphia County,south philly,pizza shop,Holy Mackerel that was a tasty sandwich!  18th & South St is a hot bed for very good cheesesteaks and pizza!!  More meat than you would think from the picture.,90,,no,no,yes,yes,no,IDK,IDK,$11 ish included Dr Pepper,the roll was very good but the meat was moist so it started to come apart near the end,,18,great meat great flavor very moist,18,"great melt, may be weak spot",16,very good all around extras.  all had very good flavor,19,"Great CS for the money. plenty of room to eat.  I got a slice of pizza, very yummy, $4 but it was big",19,90,,,,"1826 South St, Philadelphia PA","1826 South Street, Philadelphia, Pennsylvania 19146, United States",39.944308,-75.172831
48,7/15/2018,Chubby's,5826 Henry Ave,Philadelphia,PA,Philadelphia County,mayanuk/roxborough,bar/restaraunt,"i'd go back for parking, drink and curly fries.  It wasn't a bad cheesesteak but being across the street from Delasandro's I would try harder.",75,,yes,no,yes,yes,"yes, small",no,IDK,IDK,big bready roll,,15,good,15,good,15,"good, not mixed, LT on bottom",15,curly fries looked amazing and I think everyone else ordered them.,,60,,,,"5826 Henry Ave, Philadelphia PA","5826 Henry Avenue, Philadelphia, Pennsylvania 19128, United States",40.029137,-75.206277
